id,key,value,type
42464505,highway,traffic_signals,regular
42465141,highway,traffic_signals,regular
42465141,crossing,traffic_signals,regular
42465151,highway,traffic_signals,regular
42465151,crossing,traffic_signals,regular
42465156,highway,traffic_signals,regular
42465156,crossing,traffic_signals,regular
42465165,highway,traffic_signals,regular
42465165,crossing,traffic_signals,regular
42465173,highway,traffic_signals,regular
42465191,highway,traffic_signals,regular
42465191,traffic_signals,signal,regular
42465194,highway,traffic_signals,regular
42466525,highway,traffic_signals,regular
42470903,highway,traffic_signals,regular
42470903,crossing,traffic_signals,regular
42470906,highway,traffic_signals,regular
42470910,highway,traffic_signals,regular
42470925,highway,traffic_signals,regular
42470985,highway,traffic_signals,regular
42470985,crossing,traffic_signals,regular
42470999,highway,traffic_signals,regular
42470999,crossing,traffic_signals,regular
42471377,highway,traffic_signals,regular
42471377,crossing,traffic_signals,regular
42473870,highway,traffic_signals,regular
42473888,highway,traffic_signals,regular
42473923,highway,traffic_signals,regular
42473923,traffic_signals,signal,regular
42475270,highway,traffic_signals,regular
42475281,highway,traffic_signals,regular
42475284,highway,traffic_signals,regular
42475882,highway,crossing,regular
42475882,crossing,traffic_signals,regular
42477025,highway,traffic_signals,regular
42477042,highway,traffic_signals,regular
42477042,crossing,traffic_signals,regular
42477388,highway,traffic_signals,regular
42477402,highway,traffic_signals,regular
42479055,highway,traffic_signals,regular
42479444,highway,traffic_signals,regular
42480221,highway,traffic_signals,regular
42480222,highway,traffic_signals,regular
42480227,highway,traffic_signals,regular
42480230,highway,traffic_signals,regular
42480231,highway,traffic_signals,regular
42480238,highway,traffic_signals,regular
42480241,highway,traffic_signals,regular
42480605,highway,traffic_signals,regular
42480688,highway,traffic_signals,regular
42480692,highway,traffic_signals,regular
42480709,highway,traffic_signals,regular
42480734,highway,traffic_signals,regular
42481778,highway,traffic_signals,regular
42481782,highway,traffic_signals,regular
42481782,crossing,traffic_signals,regular
42481808,highway,traffic_signals,regular
42481816,highway,traffic_signals,regular
42481816,crossing,traffic_signals,regular
42481820,highway,traffic_signals,regular
42481820,crossing,traffic_signals,regular
42481822,highway,traffic_signals,regular
42481822,crossing,traffic_signals,regular
42481844,highway,traffic_signals,regular
42481847,highway,traffic_signals,regular
42484382,highway,traffic_signals,regular
42484382,traffic_signals,signal,regular
42485287,highway,traffic_signals,regular
42485296,highway,traffic_signals,regular
42485296,crossing,traffic_signals,regular
42485300,highway,traffic_signals,regular
42485300,crossing,traffic_signals,regular
42485304,highway,traffic_signals,regular
42485304,crossing,traffic_signals,regular
42487721,highway,traffic_signals,regular
42487762,highway,traffic_signals,regular
42487805,highway,traffic_signals,regular
42487807,highway,traffic_signals,regular
42488199,highway,traffic_signals,regular
42489198,highway,traffic_signals,regular
42489198,crossing,traffic_signals,regular
42489206,highway,traffic_signals,regular
42489206,crossing,traffic_signals,regular
42489210,highway,traffic_signals,regular
42489210,crossing,traffic_signals,regular
42489214,highway,traffic_signals,regular
42489214,crossing,traffic_signals,regular
42489219,highway,traffic_signals,regular
42489219,crossing,traffic_signals,regular
42489227,highway,traffic_signals,regular
42489227,crossing,traffic_signals,regular
42489236,highway,traffic_signals,regular
42489240,highway,traffic_signals,regular
42489275,highway,traffic_signals,regular
42489302,highway,traffic_signals,regular
42489307,highway,traffic_signals,regular
42489307,traffic_signals,signal,regular
42489378,highway,traffic_signals,regular
42489378,traffic_signals,signal,regular
42489678,highway,traffic_signals,regular
42489692,highway,traffic_signals,regular
42489692,crossing,traffic_signals,regular
42491934,highway,traffic_signals,regular
42491937,highway,traffic_signals,regular
42492621,highway,traffic_signals,regular
42492621,crossing,traffic_signals,regular
42492624,highway,traffic_signals,regular
42492624,crossing,traffic_signals,regular
42492627,highway,traffic_signals,regular
42492630,highway,traffic_signals,regular
42492630,crossing,traffic_signals,regular
42492633,highway,traffic_signals,regular
42492633,crossing,traffic_signals,regular
42492636,highway,traffic_signals,regular
42492639,highway,traffic_signals,regular
42492639,crossing,traffic_signals,regular
42492658,highway,traffic_signals,regular
42495282,highway,traffic_signals,regular
42495282,crossing,traffic_signals,regular
42496635,highway,traffic_signals,regular
42498725,highway,traffic_signals,regular
42498733,highway,traffic_signals,regular
42498733,crossing,traffic_signals,regular
42500760,highway,traffic_signals,regular
42500760,crossing,traffic_signals,regular
42502087,highway,traffic_signals,regular
42502539,highway,traffic_signals,regular
42502563,highway,traffic_signals,regular
42502563,crossing,traffic_signals,regular
42504591,highway,traffic_signals,regular
42504896,highway,traffic_signals,regular
42504927,highway,traffic_signals,regular
42504927,traffic_signals,signal,regular
42504956,highway,traffic_signals,regular
42504956,crossing,traffic_signals,regular
42504961,bicycle,designated,regular
42504961,highway,crossing,regular
42504961,crossing,traffic_signals,regular
42504961,sloped_curb,yes,regular
42505725,highway,traffic_signals,regular
42506064,highway,traffic_signals,regular
42506089,highway,traffic_signals,regular
42506103,highway,traffic_signals,regular
42508404,highway,traffic_signals,regular
42508413,highway,traffic_signals,regular
